participant,stitch_type,sequence_id,duration,yaw_range,pitch_range,roll_range,max_yaw_speed,max_pitch_speed,max_roll_speed,avg_yaw_speed,avg_pitch_speed,avg_roll_speed,yaw_direction_changes,pitch_direction_changes,roll_direction_changes,yaw_complexity,pitch_complexity,roll_complexity
user1_,sc,133,4764.705882352941,966.86,379.27,219.11,138.855,58.19500000000001,30.059999999999995,13.47494708994709,5.909303350970011,4.249373897707231,20,14,44,16,14,16
user1_,sc,134,2504.201680672269,952.39,360.17,244.63,118.925,28.749999999999993,31.16,19.071979865771812,6.813137583892618,4.828674496644296,16,13,8,10,7,9
user1_,sc,135,2932.7731092436975,1144.23,451.17,248.71999999999997,154.54,53.92500000000001,38.21000000000001,23.345458452722067,8.8528223495702,5.442392550143266,15,12,17,14,8,11
user1_,sc,136,3067.2268907563025,927.6800000000001,307.01,282.78,120.27,34.455000000000005,25.45,13.700904109589061,5.339753424657536,3.9647260273972633,14,14,15,13,11,10
user1_,sc,137,2991.5966386554624,917.79,308.03999999999996,288.63,112.08999999999999,29.479999999999997,26.67,15.02650280898876,5.8626404494382,4.385168539325845,13,13,14,13,11,13
user1_,sc,138,3243.6974789915967,812.8700000000001,302.25,208.49,80.685,34.635000000000005,32.2,12.35422279792745,4.901204663212432,3.336515544041451,12,10,16,17,12,8
user1_,sc,139,2764.7058823529414,696.47,253.60000000000002,209.95999999999998,68.91,32.41,15.775,11.184194528875388,4.396048632218846,3.153814589665654,16,8,8,9,3,11
user1_,sc,140,2789.915966386555,769.77,262.57000000000005,262.21,70.25000000000003,31.860000000000007,19.834999999999994,12.330572289156626,4.689051204819281,3.914051204819277,6,8,8,11,10,8
user1_,sc,141,3218.4873949579833,941.28,353.76,268.18,113.74000000000001,46.39,33.875,16.78253263707572,6.267297650130546,5.0368015665796335,15,9,24,9,8,14
user1_,sc,142,2529.4117647058824,592.9,232.49,198.91000000000003,53.775000000000006,22.860000000000007,18.825,9.756960132890363,4.778936877076406,3.396279069767442,8,16,12,14,8,9
user1_,sc,143,3579.831932773109,853.5799999999999,337.95,234.61999999999998,83.74,37.69,26.645000000000003,12.898615023474186,5.77230046948357,3.7603521126760544,14,23,20,15,12,15
user1_,sc,144,3109.2436974789916,778.32,243.76999999999998,243.17000000000002,123.87,38.294999999999995,52.49,15.174824324324325,5.426905405405404,4.55087837837838,16,10,14,12,9,8
user1_,sc,145,3218.4873949579833,753.73,257.15,228.57999999999998,92.28499999999997,39.55,23.34499999999999,12.384164490861627,4.757088772845952,4.24218015665796,15,13,21,12,11,11
user1_,sc,146,3050.420168067227,837.9499999999999,301.64,237.18,98.17500000000001,37.29,29.784999999999997,14.013842975206606,5.746294765840223,3.746143250688706,10,16,14,10,14,9
user1_,sc,147,2647.0588235294117,621.6500000000001,236.76,216.43,81.665,27.985,21.700000000000003,11.440015873015872,4.668825396825396,3.664999999999997,9,19,8,7,8,9
user1_,sc,148,3756.3025210084033,741.02,297.59999999999997,221.62,63.08000000000003,33.935,24.474999999999994,12.28501118568233,5.672225950782999,3.7190156599552586,16,8,24,15,17,14
user1_,sc,149,3134.453781512605,921.9899999999999,353.7,295.53999999999996,128.935,34.85,24.169999999999987,13.532171581769436,6.046849865951742,4.3555898123324415,17,10,14,8,16,13
